id,price,rooms,floor,full_area,living_area,kitchen_area,num_storeys,typical_panel,concrete_monolithic,old_brick,first_rental,adjacent_separate,ukrainian_brick,eurorenovation,satisfactory_condition,multilevel,kitchen_living_room,penthouse,old_panel,good_condition,pre_revolutionary,gas_block,repair_in_progress,free_planning,adjacent,separate,ukrainian_panel,Stalinka,excellent_condition,studio,designer_renovation,safe,shower_cabin,wardrobe,TV,hair_dryer,dishes,satellite_TV,DVD_player,washing_machine,fireplace,dishwashers,alarms,bed,counters,air_conditioning,refrigerator,jacuzzi,microwave,iron,cable_TV,lat,lon,district_lat,district_lon,min_dist_to_subway,dist_to_center,full_area_log,floor_other,num_storeys_other,living_area_log,kitchen_area_log,last_floor,first_floor,full_area|kitchen_area_log,dist_to_center|full_area_log,dist_to_center|full_area_log|kitchen_area,subway,district,needs_repairs
10822494,10000,2,2,45.0,30.0,6.0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,50.42340445,30.42286565,50.4398558,30.4886551,4.042821512599447,7.577630054434411,3.828641396489095,2,5,3.4011973816621555,1.9459101490553128,False,False,23.125425406638783,1.9791955604364453,2045.960114697291,берестейська,Солом'янський,0
10822443,14000,1,9,42.0,20.0,12.0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.3980515,30.4703334,50.4398558,30.4886551,1.1663988537111654,6.849432438120312,3.7612001156935615,9,9,2.995732273553991,2.5649493574615367,True,False,16.37459230055376,1.8210763127282528,3452.1139488126373,васильківська,Солом'янський,0
10822202,11000,2,2,54.0,40.0,8.5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.41628265,30.64235666696204,50.429108,30.6424672,1.697212251450224,9.447710134546035,4.007333185232471,2,18,3.688879454113936,2.251291798606496,False,False,23.98622872140561,2.357605344462507,4336.49895175663,харківська,Дарницький,0
10786814,34500,3,3,75.0,48.0,9.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,50.4460241,30.42542604337797,50.4398558,30.4886551,1.6823543066464441,6.784989707217322,4.330733340286331,3,25,3.871201010907891,2.302585092994046,False,False,32.572086142743885,1.5667068771241237,4579.868052371693,берестейська,Солом'янський,0
10822306,16000,2,12,45.0,25.0,20.0,25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,50.4112057,30.6463006,50.429108,30.6424672,1.0737035205983083,9.940611301442722,3.828641396489095,12,25,3.218875824868201,3.044522437723423,False,False,14.780643243887296,2.59638087561775,8946.55017129845,харківська,Дарницький,0
10756073,16000,1,15,40.0,30.0,10.0,21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.416325400000005,30.52648635,50.44582665,30.53806236407185,0.5117896166626291,3.8298245047624966,3.713572066704308,15,21,3.4011973816621555,2.3978952727983707,False,False,16.68129565696985,1.0313047480889093,1531.9298019049986,либідська,Печерський,0
10816773,30400,2,6,46.0,20.0,15.0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4074004,30.54498485970556,50.44582665,30.53806236407185,1.1035973103116792,5.101385507713324,3.8501476017100575,6,24,2.995732273553991,2.772588722239781,False,False,16.59099297022308,1.3249843994156285,3519.9560003221936,дружби народів,Печерський,0
10818375,190000,4,7,185.0,100.0,20.0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.40786745,30.54555006317261,50.44582665,30.53806236407185,1.0539124824222181,5.066387914761584,5.225746673713202,7,30,4.605170185988092,3.044522437723423,False,False,60.76486666931445,0.9695050738388772,18745.63528461786,дружби народів,Печерський,0
10752678,38000,2,20,74.0,18.0,40.0,25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42108495,30.55257007657811,50.44582665,30.53806236407185,0.7137210005892174,3.984547452041488,4.31748811353631,20,25,2.8903717578961645,3.713572066704308,False,False,19.926905596764936,0.9228855638418604,11794.260458042803,дружби народів,Печерський,0
10789403,76000,3,20,130.0,50.0,20.0,21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42108495,30.55257007657811,50.44582665,30.53806236407185,0.7137210005892174,3.984547452041488,4.875197323201151,20,21,3.912023005428146,3.044522437723423,False,False,42.69963603789664,0.8173099851936158,10359.82337530787,дружби народів,Печерський,0
